File_ID,Access_Frequency,Frequnecy_of_Access,File_Size,File_Lifecycle_Stage,Modification_Frequency,File_Age,Storage_Tier
File_140,28.3475,11.4424,7.1754,1.5735,2.8346,2.3315,Warm
File_141,2.4652,3.2537,15.8103,18.9486,9.1045,0.0,Warm
File_142,6.2774,19.3375,0.0,0.0,17.2708,2.0428,Warm
File_143,19.2589,1.9182,17.7607,9.4694,13.9553,0.0,Warm
File_144,21.2776,6.4837,12.2484,7.2671,1.4243,2.9066,Warm
File_145,3.552,4.4685,20.8543,7.2376,11.0392,0.0,Warm
File_146,22.3804,15.7944,0.0,0.0,21.7538,1.2437,Warm
File_147,14.1233,22.2568,14.7441,3.5685,5.383,8.9655,Warm
File_148,18.2521,8.0195,19.649,17.3267,3.8309,0.0,Warm
File_149,13.6996,9.2397,28.8639,6.7621,11.6215,0.0,Hot
File_150,10.6196,10.3309,0.0,0.0,6.4764,1.3691,Cold
File_151,13.2145,9.0411,4.5601,16.8531,11.0667,0.0,Warm
File_152,10.4704,17.9732,5.0652,2.9082,4.2724,5.1879,Warm
File_153,7.7034,19.3859,11.3684,6.1669,5.0149,2.3299,Warm
File_154,7.8029,7.142,20.2232,16.4528,17.8689,0.0,Warm
File_155,15.8269,5.1346,13.3449,7.2153,3.0027,6.6538,Warm
File_156,2.8906,2.5315,6.1009,12.026,10.9537,0.0,Cold
File_157,14.2745,2.5943,1.7677,3.7172,6.4768,1.7526,Cold
File_158,12.2274,19.7049,0.0,0.0,22.191,2.1878,Warm
File_159,13.7743,6.7231,0.0,0.0,21.1881,0.6826,Warm
File_160,6.3602,29.6674,0.0,0.0,17.141,2.1098,Warm
File_161,7.8309,13.662,0.0,0.0,9.463,3.5244,Cold
File_162,3.2126,22.2623,14.302,1.9987,9.2177,8.0398,Warm
File_163,17.0112,6.3948,26.2393,9.2119,14.0862,0.0,Hot
File_164,10.4654,4.7266,27.9351,7.3595,5.9052,0.0,Warm
File_165,5.1802,16.5777,0.0,0.0,14.6041,2.9295,Cold
File_166,17.3868,23.5225,4.9943,2.1221,7.309,7.6298,Warm
File_167,23.8852,17.5301,0.0,0.0,22.3085,3.5464,Warm
File_168,22.7833,14.8945,0.0,0.0,18.4669,3.511,Warm
File_169,18.5788,24.3866,0.0,0.0,10.8056,1.1924,Warm
File_170,25.2446,11.5255,14.539,2.2918,3.6281,7.1139,Warm
File_171,12.7456,1.0728,28.4274,18.3703,13.4442,0.0,Hot
File_172,18.7728,1.9002,3.8108,9.6888,14.0906,0.0,Warm
File_173,13.9051,15.9786,2.2112,5.1898,1.333,7.2668,Warm
File_174,28.7996,25.2081,0.0,0.0,23.3775,2.9521,Hot
File_175,18.1802,6.8283,24.4157,16.5908,6.3641,0.0,Hot
File_176,6.7876,28.4176,0.0,0.0,4.0834,3.633,Warm
File_177,26.4897,10.2042,10.2784,9.8625,7.8714,1.4954,Warm
File_178,14.0788,10.4821,11.5647,4.037,8.1039,3.1187,Warm
File_179,11.2381,1.4987,20.97,17.8666,5.0651,0.0,Warm
File_180,26.8809,19.3538,3.1218,6.1868,5.2743,2.862,Warm
File_181,16.8425,2.5549,22.133,3.7746,7.9739,0.0,Warm
File_182,6.3641,7.0235,22.8377,8.578,13.5954,0.0,Warm
File_183,16.9565,13.6495,0.0,0.0,10.1144,1.0572,Warm
File_184,15.2162,5.9096,0.0,0.0,7.8852,3.909,Cold
File_185,10.9363,8.253,27.5095,4.7463,11.3379,0.0,Warm
File_186,3.5016,11.3232,9.9612,7.5511,9.1226,5.7858,Warm
File_187,29.4771,14.6067,4.8305,4.7644,2.4143,2.5936,Warm
File_188,6.2569,7.8977,27.976,19.0938,5.1258,0.0,Warm
File_189,5.8602,3.0974,4.0802,11.1788,5.3863,0.0,Cold
File_190,13.6333,5.7771,9.6193,15.8747,4.1199,0.0,Warm
File_191,5.3946,4.6046,12.3803,1.4003,5.6144,7.9185,Cold
File_192,33.2563,11.3306,0.0,0.0,18.8856,4.8882,Warm
File_193,16.7157,7.8583,19.9946,19.6591,16.2942,0.0,Hot
File_194,9.0396,4.4629,8.3592,16.5412,8.4078,0.0,Warm
File_195,6.9749,2.5589,22.2496,3.4892,8.4173,0.0,Warm
File_196,9.8088,10.2731,5.2264,5.1631,2.3264,2.1593,Cold
File_197,9.0319,4.0677,9.2343,6.504,5.8328,7.3734,Warm
File_198,21.4926,17.7895,0.0,0.0,19.6983,0.8433,Warm
File_199,3.0239,7.6425,13.2162,14.1469,12.5199,0.0,Warm
File_200,11.725,9.2544,25.6929,4.4818,5.6029,0.0,Warm
File_201,12.5282,21.1588,4.5051,7.313,4.0947,5.7647,Warm
File_202,19.52,10.9816,0.0,0.0,24.3744,3.2682,Warm
File_203,22.663,23.1518,0.0,0.0,25.1224,1.9044,Hot
File_204,33.2993,19.7994,0.0,0.0,19.9125,1.5943,Hot
File_205,19.2069,13.5952,0.0,0.0,8.6651,4.7151,Warm
File_206,18.4328,2.1922,22.1239,6.532,2.0646,0.0,Warm
File_207,34.2185,18.0244,0.0,0.0,9.1588,0.6678,Warm
File_208,24.4195,27.6006,0.0,0.0,28.839,3.9216,Hot
File_209,13.6412,13.491,10.435,8.4207,2.6612,1.1413,Warm
File_210,18.7154,13.5182,0.0,0.0,11.9779,1.5835,Warm
File_211,24.6233,4.139,0.0,0.0,28.5485,3.1492,Warm
File_212,29.8949,13.2743,0.0,0.0,20.5856,3.108,Warm
File_213,14.1233,4.383,0.0,0.0,26.7971,4.2994,Warm
File_214,15.5265,15.4789,2.3661,8.7071,6.0324,1.8187,Warm
File_215,24.2711,21.236,10.1255,4.51,9.0608,5.1886,Hot
File_216,20.7008,27.2932,0.0,0.0,18.7178,1.912,Warm
File_217,22.0694,17.8384,0.0,0.0,19.2109,4.0194,Warm
File_218,14.084,24.7223,12.0582,6.1233,2.0102,6.107,Warm
File_219,6.6437,11.8656,0.0,0.0,3.9201,2.1472,Cold
File_220,18.6054,19.9373,0.0,0.0,16.3521,4.106,Warm
File_221,32.2388,27.2932,0.0,0.0,18.4914,3.1237,Hot
File_222,11.4693,13.8173,12.4668,9.8613,8.5816,6.4187,Warm
File_223,25.6459,23.4936,0.0,0.0,23.1478,2.2669,Hot
File_224,18.3197,16.2643,2.5001,2.5165,9.3321,3.3789,Warm
File_225,7.4335,17.7073,0.0,0.0,5.6386,3.7116,Cold
File_226,26.4747,11.0453,0.0,0.0,24.9478,0.8343,Warm
File_227,12.0691,9.087,8.3909,1.3137,8.2458,8.1116,Warm
File_228,4.3943,11.4232,0.0,0.0,4.0847,3.1182,Cold
File_229,13.2039,5.6802,7.9227,18.0767,6.1445,0.0,Warm
File_230,11.0111,7.4217,15.2375,15.9091,8.4313,0.0,Warm
File_231,14.8736,2.9559,27.899,2.1665,19.4735,0.0,Warm
File_232,26.9949,3.3871,4.5717,8.8976,5.6663,2.5425,Warm
File_233,5.5645,4.9426,9.4886,11.0049,7.7832,0.0,Cold
File_234,9.5818,7.8461,0.0,0.0,27.9099,2.3968,Warm
File_235,12.7048,13.3433,13.916,6.8665,6.1439,6.5159,Warm
File_236,25.0893,15.4539,6.0242,6.7577,2.7381,5.5766,Warm
File_237,28.418,21.0158,9.0243,5.8983,5.4597,5.2507,Hot
File_238,15.1432,9.0564,23.5058,12.7463,4.9437,0.0,Warm
File_239,7.3671,7.808,13.5845,11.6068,6.5459,0.0,Warm
File_240,27.8567,15.2162,0.0,0.0,8.5842,2.6182,Warm
File_241,21.5905,16.4247,6.625,4.8925,6.7133,4.1712,Warm
File_242,11.4683,17.4476,0.0,0.0,11.6636,1.8743,Warm
File_243,9.9967,5.1824,0.0,0.0,20.2332,1.0712,Cold
File_244,7.2383,4.646,12.0988,2.4843,13.4641,0.0,Cold
File_245,15.3472,6.7028,11.0772,8.7287,18.5031,0.0,Warm
File_246,32.7897,13.8858,0.0,0.0,9.4282,1.4993,Warm
File_247,9.0253,2.8703,7.058,19.6133,15.2399,0.0,Warm
File_248,25.6996,21.3544,0.0,0.0,6.9085,4.9147,Warm
File_249,17.789,21.9549,8.3513,3.8265,6.3735,6.1941,Warm
File_250,24.6377,17.2444,7.2343,8.4937,7.6951,6.6845,Hot
File_251,19.1108,26.2349,0.0,0.0,29.4235,1.6778,Hot
File_252,23.944,3.7062,9.4689,5.5762,2.4513,3.5993,Warm
File_253,33.9804,4.8238,0.0,0.0,22.5372,4.2937,Warm
File_254,5.2137,3.9312,0.0,0.0,19.3275,2.9877,Cold
File_255,8.3429,9.0718,8.8514,3.2373,3.0783,2.8757,Cold
File_256,10.9321,17.8273,0.0,0.0,13.8605,0.5712,Warm
File_257,19.2499,5.5012,0.0,0.0,11.1218,4.0869,Cold
File_258,28.2599,26.444,0.0,0.0,7.0065,0.6918,Warm
File_259,28.6796,3.7974,2.6917,2.782,3.0275,2.6475,Warm
File_260,9.8038,22.9226,0.0,0.0,24.6686,1.4783,Warm
File_261,22.0651,14.2304,13.1297,7.4311,7.443,7.8082,Hot
File_262,12.343,12.6074,13.1721,6.87,6.4778,8.6943,Warm
File_263,5.3864,23.2311,12.6074,5.3552,4.059,2.5897,Warm
File_264,4.0263,1.6432,24.2942,17.7613,11.4744,0.0,Warm
File_265,23.1519,10.7446,7.5922,4.1318,4.5248,5.1947,Warm
File_266,15.0345,11.0748,0.0,0.0,17.6457,3.7344,Warm
File_267,17.7569,19.749,0.0,0.0,19.3414,1.5477,Warm
File_268,7.6108,3.4678,15.6309,3.3753,4.7415,0.0,Cold
File_269,27.4673,21.2966,10.6383,1.6158,2.6624,5.758,Warm
File_270,26.1195,8.1174,0.0,0.0,16.5568,4.3729,Warm
File_271,13.1613,6.926,12.1335,4.1434,18.8844,0.0,Warm
File_272,26.6362,18.3332,12.158,1.5552,8.4559,3.7092,Hot
File_273,9.1726,4.2017,4.3204,18.7644,14.4196,0.0,Warm
File_274,33.8969,8.9477,0.0,0.0,7.3353,0.8355,Warm
File_275,11.0904,9.0197,17.4035,18.0833,11.6463,0.0,Warm
File_276,18.5083,13.0682,8.3412,4.1651,4.8546,1.66,Warm
File_277,10.6315,6.7995,0.0,0.0,15.9686,1.3186,Cold
File_278,5.2017,7.7804,10.7928,2.8816,4.9271,6.8383,Cold
File_279,8.0952,6.1187,25.3734,13.9368,19.5383,0.0,Hot
File_280,26.7537,14.7842,13.5318,8.5941,5.4496,4.1106,Hot
File_281,4.8238,9.5941,11.3993,6.0478,9.8716,6.3854,Warm
File_282,3.5949,4.0082,25.7236,6.6649,19.6439,0.0,Warm
File_283,3.5086,6.51,5.8717,3.7863,8.4243,3.2464,Cold
File_284,28.4217,11.7551,1.66,2.445,3.588,2.0307,Warm
File_285,27.7566,7.3373,6.2588,6.8219,6.0333,6.1267,Warm
File_286,6.5551,2.5341,6.8132,3.6839,8.3521,0.0,Cold
File_287,17.5566,4.5229,14.9949,16.8212,19.2851,0.0,Hot
File_288,13.387,1.703,4.8829,11.2445,10.3958,0.0,Warm
File_289,27.4847,20.1909,9.0171,5.4249,1.1177,5.9187,Warm
File_290,16.7868,5.0098,18.8433,8.6418,16.9649,0.0,Warm
File_291,14.6886,17.801,10.3418,3.702,1.7854,7.7462,Warm
File_292,8.2127,5.4961,13.9214,1.4011,4.2402,4.0011,Cold
File_293,21.217,15.7703,0.0,0.0,19.272,2.4763,Warm
File_294,19.3722,29.3683,0.0,0.0,9.9974,4.9118,Warm
File_295,6.5148,20.4212,11.3995,5.7193,3.0849,7.2887,Warm
File_296,15.2282,14.7848,3.7665,6.4789,9.501,6.2692,Warm
File_297,12.301,7.1277,0.0,0.0,6.179,2.1911,Cold
File_298,11.1278,2.5923,26.6949,9.9994,11.4912,0.0,Warm
File_299,5.1829,22.2777,0.0,0.0,14.8384,1.3098,Warm
File_300,16.9364,15.7069,9.3385,9.427,6.2548,5.3458,Warm
File_301,27.3677,19.7632,3.8165,6.3212,2.6056,7.9039,Warm
File_302,3.0779,6.9785,29.0434,11.7915,9.9327,0.0,Warm
File_303,26.7323,4.7615,2.2181,5.1678,9.2812,5.1413,Warm
File_304,3.7093,4.5711,26.1165,17.7253,12.9215,0.0,Warm
File_305,4.6514,2.299,28.9323,12.8761,6.0045,0.0,Warm
File_306,31.1307,20.3442,0.0,0.0,14.3529,2.5185,Warm
File_307,17.9582,23.3621,6.8137,4.449,7.379,3.6849,Warm
File_308,7.3951,6.1726,11.361,15.4033,5.0998,0.0,Warm
File_309,7.094,4.847,3.1472,3.8354,9.8524,5.399,Cold
File_310,11.9503,6.6559,22.3213,7.6926,12.5428,0.0,Warm
File_311,21.4501,20.8283,13.6174,2.4781,5.7754,8.6438,Hot
File_312,5.1082,11.5692,0.0,0.0,14.2073,0.6322,Cold
File_313,12.6538,15.745,10.32,4.6387,8.0013,8.5964,Warm
File_314,27.2193,9.4762,14.7895,4.4227,7.8855,1.0746,Warm
File_315,18.0531,9.5432,19.1328,15.8861,16.9485,0.0,Hot
File_316,29.1325,11.5507,0.0,0.0,5.5563,0.5176,Warm
File_317,5.4897,11.5745,3.5458,5.7492,7.5217,9.786,Warm
File_318,6.8515,12.2234,8.7382,6.6761,7.2375,9.6624,Warm
File_319,9.5413,7.3987,0.0,0.0,6.9167,2.467,Cold
File_320,4.3119,2.1908,11.9134,16.1287,14.5003,0.0,Warm
File_321,4.1457,23.8038,0.0,0.0,18.8183,0.6525,Warm
File_322,3.5977,5.7427,18.0804,4.5413,8.4172,0.0,Warm
File_323,8.204,1.5772,15.6872,11.4169,17.7926,0.0,Warm
File_324,24.968,24.2835,0.0,0.0,10.1281,2.8094,Warm
File_325,28.3354,24.7183,0.0,0.0,13.6875,0.9663,Warm
File_326,18.5616,6.1329,21.9569,10.5958,6.9952,0.0,Warm
File_327,8.2104,7.6805,13.984,8.5512,11.7722,0.0,Warm
File_328,8.0113,9.4069,0.0,0.0,23.9461,2.4615,Warm
File_329,5.188,24.7625,0.0,0.0,14.4859,3.9965,Warm
File_330,6.5456,7.7442,11.8011,4.3318,4.6911,4.0423,Cold
File_331,2.842,5.0448,21.3893,11.3123,12.4083,0.0,Warm
File_332,23.3012,6.3254,0.0,0.0,12.7568,1.1695,Warm
File_333,18.2142,3.7146,0.0,0.0,29.1723,2.418,Warm
File_334,17.5275,13.6541,3.2183,8.5476,7.2905,4.5028,Warm
File_335,11.6992,4.6501,27.3457,11.3156,10.5011,0.0,Warm
File_336,6.1183,7.1877,9.6561,7.2091,1.9288,4.1587,Cold
File_337,6.9605,20.4672,0.0,0.0,27.3288,1.5434,Warm
File_338,16.0181,3.8756,7.2274,3.6543,6.5894,6.9645,Warm
File_339,12.1213,19.5653,0.0,0.0,29.5876,1.9313,Warm
File_340,14.7916,3.7179,8.3576,7.6319,4.8979,3.6318,Warm
File_341,5.2502,5.5387,20.5869,15.5237,13.8645,0.0,Warm
File_342,11.9673,4.5461,23.0787,5.9282,2.3045,0.0,Warm
File_343,28.9716,22.3628,12.5409,3.3066,8.4658,8.0271,Hot
File_344,17.6509,2.233,16.3992,4.4558,10.1011,0.0,Warm
File_345,22.4814,22.7585,8.7355,2.1136,9.6888,5.7858,Hot
File_346,19.6211,3.9412,7.6673,1.1066,3.3665,9.5577,Warm
File_347,2.3855,4.5728,5.6134,7.7359,13.0317,0.0,Cold
File_348,18.5165,4.9815,19.3138,11.4297,12.4846,0.0,Warm
File_349,8.7835,19.4776,0.0,0.0,17.1452,3.8508,Warm
File_350,8.5432,7.0099,0.0,0.0,12.422,3.5707,Cold
File_351,9.7484,6.4693,10.6339,16.459,3.2381,0.0,Warm
File_352,32.566,3.581,0.0,0.0,15.6722,2.4425,Warm
File_353,9.2709,23.5003,0.0,0.0,24.9921,2.4109,Warm
File_354,12.4727,10.3982,13.6597,9.8145,8.0238,3.0422,Warm
File_355,14.8864,26.1666,0.0,0.0,9.8808,3.5747,Warm
File_356,11.273,1.9541,21.282,17.9943,15.911,0.0,Warm
File_357,10.009,20.1448,5.3871,9.7007,2.8561,2.1819,Warm
File_358,8.7738,1.3115,23.51,10.1357,17.397,0.0,Warm
File_359,20.2331,22.2163,10.8621,4.8818,5.5926,1.8754,Warm
File_360,18.8158,6.0956,0.0,0.0,28.1631,3.3236,Warm
File_361,9.711,5.9274,14.2632,15.4368,13.1371,0.0,Warm
File_362,16.7627,4.6194,0.0,0.0,5.5466,3.1621,Cold
File_363,18.8978,8.3824,12.579,1.9487,7.9653,2.362,Warm
File_364,11.5744,3.3113,20.9482,14.057,11.9952,0.0,Warm
File_365,27.4942,15.1266,0.0,0.0,24.4423,2.3082,Warm
File_366,3.7447,15.4654,3.2348,7.8186,9.6375,5.3785,Warm
File_367,19.3675,13.0389,0.0,0.0,9.6712,0.6765,Warm
File_368,5.2371,16.0901,6.1406,1.3777,1.6517,1.4036,Cold
File_369,12.4634,4.5196,7.7824,4.1824,3.9094,7.8413,Warm
File_370,8.3224,5.6835,11.7397,6.1416,6.4197,0.0,Cold
File_371,13.181,29.5002,0.0,0.0,11.058,0.5214,Warm
File_372,9.7477,17.1283,4.5732,9.6534,8.6634,1.752,Warm
File_373,8.4088,6.1711,8.8849,9.1368,8.606,6.5298,Warm
File_374,13.3082,18.1939,3.6137,4.9669,4.5664,2.0024,Warm
File_375,23.6096,18.5515,5.3672,9.7543,6.8001,3.9948,Warm
File_376,5.6946,9.1651,0.0,0.0,17.8486,0.5435,Cold
File_377,17.7717,17.4272,0.0,0.0,8.7186,3.1987,Warm
File_378,10.0519,10.2753,5.338,1.2588,1.0935,7.9507,Cold
File_379,4.1318,4.2113,7.5363,3.7076,3.195,8.741,Cold
File_380,4.4384,19.9932,0.0,0.0,26.6099,4.8347,Warm
