File_ID,Access_Frequency,Frequnecy_of_Access,File_Size,File_Lifecycle_Stage,Modification_Frequency,File_Age,Storage_Tier,Storage_Tier_Encoded
File_36,0.351,0.4482,0.0,0.0,0.2067,0.1068,Cold,0
File_37,0.633,0.7978,0.0,0.0,0.2779,0.0873,Warm,1
File_38,0.328,0.2815,0.2907,0.1019,0.2781,0.1981,Warm,1
File_39,0.8367,0.081,0.0,0.0,0.1766,0.4488,Warm,1
File_40,0.2238,0.8011,0.0,0.0,0.4896,0.3569,Warm,1
File_41,0.7564,0.1653,0.0,0.0,0.9737,0.4597,Warm,1
File_42,0.4801,0.6044,0.1919,0.1438,0.0981,0.1256,Warm,1
File_43,0.6249,0.3006,0.2264,0.2297,0.0195,0.3867,Warm,1
File_44,0.5285,0.0343,0.2945,0.6565,0.6434,0.0,Warm,1
File_45,0.2543,0.1102,0.2658,0.2879,0.1582,0.0,Cold,0
File_46,0.1018,0.6368,0.0912,0.3087,0.1048,0.3058,Warm,1
File_47,0.0621,0.1971,0.4069,0.3108,0.2858,0.3224,Warm,1
File_48,0.5651,0.6088,0.0,0.0,0.0883,0.1602,Warm,1
File_49,0.3005,0.8776,0.0,0.0,0.0786,0.3884,Warm,1
File_50,0.4334,0.7216,0.1198,0.2759,0.2465,0.1705,Warm,1
File_51,0.0924,0.2407,0.9865,0.8396,0.2331,0.0,Warm,1
File_52,0.4545,0.1866,0.2146,0.2869,0.3734,0.0,Warm,1
File_53,0.7025,0.536,0.3527,0.2991,0.2927,0.9893,Hot,2
File_54,0.2144,0.4725,0.0,0.0,0.6918,0.1642,Warm,1
File_55,0.6971,0.4856,0.0,0.0,0.4789,0.2927,Warm,1
File_56,0.4228,0.385,0.0,0.0,0.6719,0.238,Warm,1
File_57,0.008,0.2145,0.6226,0.6346,0.1205,0.0,Warm,1
File_58,0.355,0.3634,0.3258,0.1555,0.0018,0.5769,Warm,1
File_59,0.4864,0.2855,0.9373,0.6756,0.1747,0.0,Hot,2
File_60,0.2597,0.0696,0.4717,0.6048,0.598,0.0,Warm,1
File_61,0.8267,0.2224,0.4648,0.3936,0.2,0.4329,Warm,1
File_62,0.4169,0.2739,0.3814,0.7237,0.562,0.0,Warm,1
File_63,0.3815,0.144,0.1774,0.2118,0.4111,0.0,Warm,1
File_64,0.1731,0.2466,0.1483,0.3065,0.235,0.148,Cold,0
File_65,0.2131,0.1975,0.4463,0.8611,0.3726,0.0,Warm,1
File_66,0.5347,0.2506,0.6661,0.3415,0.6017,0.0,Hot,2
File_67,0.9722,0.6441,0.0,0.0,0.1458,0.4335,Warm,1
File_68,0.9741,0.4256,0.0,0.0,0.2229,0.197,Warm,1
File_69,0.64,0.524,0.0,0.0,0.5671,0.4597,Warm,1
File_70,0.1594,0.0768,0.775,0.1046,0.1524,0.0,Warm,1
File_71,0.0733,0.9759,0.0,0.0,0.2305,0.1173,Warm,1
File_72,0.3055,0.6151,0.0,0.0,0.8067,0.4144,Warm,1
File_73,0.5662,0.5267,0.0,0.0,0.6011,0.223,Warm,1
File_74,0.6939,0.7537,0.0614,0.3064,0.0036,0.3679,Warm,1
File_75,0.4142,0.302,0.2238,0.5509,0.3902,0.0,Warm,1
File_76,0.3683,0.2353,0.392,0.2124,0.4806,0.0,Warm,1
File_77,0.2162,0.2429,0.7155,0.5436,0.4369,0.0,Warm,1
File_78,0.5772,0.9961,0.0,0.0,0.7578,0.3783,Hot,2
File_79,0.9892,0.4994,0.0,0.0,0.7634,0.4949,Hot,2
File_80,0.6055,0.4009,0.3512,0.1392,0.163,0.7118,Warm,1
File_81,0.2307,0.1256,0.8754,0.6264,0.4904,0.0,Warm,1
File_82,0.0347,0.3064,0.3237,0.9704,0.2152,0.0,Warm,1
File_83,0.3421,0.1965,0.9436,0.8045,0.5603,0.0,Hot,2
File_84,0.0032,0.2831,0.8188,0.4706,0.4601,0.0,Warm,1
File_85,0.7123,0.4282,0.2605,0.0709,0.1581,0.7713,Warm,1
File_86,0.0856,0.1041,0.2494,0.1243,0.2202,0.2466,Cold,0
File_87,0.4288,0.7112,0.0,0.0,0.2629,0.4492,Warm,1
File_88,0.0847,0.5948,0.4597,0.3466,0.1449,0.603,Warm,1
File_89,0.2052,0.6778,0.0,0.0,0.3208,0.3249,Warm,1
File_90,0.4198,0.4418,0.0,0.0,0.6383,0.3728,Warm,1
File_91,0.8197,0.6006,0.4298,0.0642,0.279,0.6613,Hot,2
File_92,0.7903,0.7763,0.1622,0.1715,0.0221,0.7602,Warm,1
File_93,0.2404,0.2833,0.7558,0.6461,0.1972,0.0,Warm,1
File_94,0.7895,0.9021,0.0,0.0,0.4429,0.1027,Warm,1
File_95,0.732,0.3541,0.0,0.0,0.5283,0.0955,Warm,1
File_96,0.0868,0.8235,0.0,0.0,0.7063,0.273,Warm,1
File_97,0.4437,0.2991,0.6523,0.4089,0.5551,0.0,Hot,2
File_98,0.0921,0.0687,0.3107,0.5054,0.5009,0.0,Warm,1
File_99,0.8294,0.5004,0.0,0.0,0.7357,0.1991,Warm,1
File_100,0.0583,0.0661,0.1719,0.1149,0.0377,0.0,Cold,0
File_101,0.7246,0.275,0.1386,0.1225,0.2556,0.6825,Warm,1
File_102,0.0583,0.2047,0.0,0.0,0.4231,0.109,Cold,0
File_103,0.5638,0.2876,0.057,0.2919,0.1626,0.2171,Warm,1
File_104,0.6695,0.3878,0.136,0.2751,0.04,0.3524,Warm,1
File_105,0.6789,0.4325,0.0,0.0,0.6674,0.1599,Warm,1
File_106,0.6069,0.8034,0.0,0.0,0.72,0.3378,Hot,2
File_107,0.9107,0.5789,0.0,0.0,0.5693,0.4645,Hot,2
File_108,0.7273,0.7618,0.0,0.0,0.3038,0.4899,Warm,1
File_109,0.1,0.2589,0.0,0.0,0.6632,0.4611,Cold,0
File_110,0.2544,0.1147,0.9863,0.1371,0.3647,0.0,Warm,1
File_111,0.9015,0.7805,0.0,0.0,0.756,0.172,Hot,2
File_112,0.6856,0.1187,0.0659,0.2232,0.2271,0.383,Warm,1
File_113,0.2931,0.4236,0.0,0.0,0.157,0.4292,Cold,0
File_114,0.3026,0.1022,0.4055,0.8055,0.6287,0.0,Warm,1
File_115,0.168,0.8283,0.0,0.0,0.856,0.3122,Warm,1
File_116,0.2908,0.2782,0.8487,0.3629,0.132,0.0,Warm,1
File_117,0.1751,0.1269,0.2146,0.1593,0.2212,0.0,Cold,0
File_118,0.1693,0.0924,0.4181,0.3935,0.4996,0.0,Warm,1
File_119,0.0643,0.0982,0.7545,0.8065,0.3906,0.0,Warm,1
File_120,0.4222,0.7606,0.4675,0.4864,0.2529,0.934,Hot,2
File_121,0.4363,0.0415,0.5719,0.6185,0.6512,0.0,Warm,1
File_122,0.3117,0.1049,0.9917,0.8175,0.2644,0.0,Hot,2
File_123,0.5339,0.165,0.2519,0.2344,0.4615,0.0,Warm,1
File_124,0.2206,0.4524,0.0,0.0,0.1618,0.2961,Cold,0
File_125,0.6152,0.2107,0.0805,0.3073,0.1987,0.8707,Warm,1
File_126,0.6599,0.231,0.0,0.0,0.4125,0.432,Warm,1
File_127,0.4396,0.068,0.2812,0.5448,0.593,0.0,Warm,1
File_128,0.5831,0.4747,0.4752,0.4093,0.225,0.8337,Hot,2
File_129,0.3628,0.0585,0.2897,0.2216,0.2717,0.1699,Warm,1
File_130,0.4808,0.247,0.6266,0.1371,0.5633,0.0,Warm,1
File_131,0.9639,0.7178,0.0,0.0,0.8354,0.2812,Hot,2
File_132,0.1703,0.2408,0.681,0.9945,0.21,0.0,Warm,1
File_133,0.2211,0.1953,0.3777,0.3724,0.3491,0.0,Warm,1
File_134,0.4205,0.3023,0.3283,0.1097,0.298,0.0,Warm,1
File_135,0.3966,0.4441,0.0,0.0,0.6936,0.455,Warm,1
File_136,0.8545,0.4266,0.0,0.0,0.4167,0.3878,Warm,1
File_137,0.6595,0.3536,0.4117,0.2679,0.0445,0.2345,Warm,1
File_138,0.8235,0.4121,0.0,0.0,0.9545,0.2364,Hot,2
File_139,0.1549,0.1304,0.3471,0.403,0.6024,0.0,Warm,1
File_140,0.8079,0.364,0.2416,0.0795,0.0636,0.2358,Warm,1
File_141,0.0119,0.0784,0.5324,0.9571,0.2825,0.0,Warm,1
File_142,0.1292,0.6394,0.0,0.0,0.5675,0.2066,Warm,1
File_143,0.5284,0.0318,0.5981,0.4783,0.4518,0.0,Warm,1
File_144,0.5904,0.191,0.4124,0.367,0.0143,0.2939,Warm,1
File_145,0.0453,0.1207,0.7022,0.3656,0.35,0.0,Warm,1
File_146,0.6244,0.5158,0.0,0.0,0.724,0.1258,Warm,1
File_147,0.3704,0.7413,0.4965,0.1802,0.1525,0.9066,Warm,1
File_148,0.4974,0.2446,0.6617,0.8751,0.0983,0.0,Warm,1
File_149,0.3574,0.2872,0.972,0.3415,0.3703,0.0,Hot,2
File_150,0.2627,0.3252,0.0,0.0,0.1907,0.1384,Cold,0
File_151,0.3425,0.2803,0.1536,0.8512,0.351,0.0,Warm,1
File_152,0.2581,0.5918,0.1706,0.1469,0.1138,0.5246,Warm,1
File_153,0.173,0.6411,0.3828,0.3115,0.1397,0.2356,Warm,1
File_154,0.1761,0.214,0.681,0.831,0.5884,0.0,Warm,1
File_155,0.4228,0.144,0.4494,0.3644,0.0694,0.6728,Warm,1
File_156,0.025,0.0532,0.2054,0.6074,0.347,0.0,Cold,0
File_157,0.3751,0.0554,0.0595,0.1877,0.1907,0.1772,Cold,0
File_158,0.3121,0.6522,0.0,0.0,0.7393,0.2212,Warm,1
File_159,0.3597,0.1994,0.0,0.0,0.7043,0.069,Warm,1
File_160,0.1317,0.9998,0.0,0.0,0.563,0.2133,Warm,1
File_161,0.1769,0.4414,0.0,0.0,0.295,0.3564,Cold,0
File_162,0.0349,0.7415,0.4816,0.101,0.2864,0.813,Warm,1
File_163,0.4592,0.1879,0.8836,0.4653,0.4564,0.0,Hot,2
File_164,0.2579,0.1297,0.9407,0.3717,0.1708,0.0,Warm,1
File_165,0.0954,0.5432,0.0,0.0,0.4744,0.2962,Cold,0
File_166,0.4708,0.7854,0.1682,0.1072,0.2198,0.7715,Warm,1
File_167,0.6706,0.5764,0.0,0.0,0.7434,0.3586,Warm,1
File_168,0.6367,0.4844,0.0,0.0,0.6093,0.355,Warm,1
File_169,0.5074,0.8156,0.0,0.0,0.3418,0.1206,Warm,1
File_170,0.7124,0.3669,0.4896,0.1158,0.0913,0.7193,Warm,1
File_171,0.3281,0.0023,0.9573,0.9278,0.434,0.0,Hot,2
File_172,0.5134,0.0312,0.1283,0.4894,0.4565,0.0,Warm,1
File_173,0.3637,0.5223,0.0745,0.2621,0.0111,0.7348,Warm,1
File_174,0.8218,0.8442,0.0,0.0,0.7807,0.2985,Hot,2
File_175,0.4952,0.2031,0.8222,0.838,0.1868,0.0,Hot,2
File_176,0.1448,0.9562,0.0,0.0,0.1072,0.3674,Warm,1
File_177,0.7507,0.3208,0.3461,0.4981,0.2394,0.1512,Warm,1
File_178,0.3691,0.3305,0.3894,0.2039,0.2475,0.3154,Warm,1
File_179,0.2817,0.0171,0.7061,0.9024,0.1414,0.0,Warm,1
File_180,0.7628,0.64,0.1051,0.3125,0.1487,0.2894,Warm,1
File_181,0.4541,0.054,0.7453,0.1906,0.243,0.0,Warm,1
File_182,0.1318,0.2099,0.769,0.4333,0.4392,0.0,Warm,1
File_183,0.4576,0.441,0.0,0.0,0.3177,0.1069,Warm,1
File_184,0.404,0.171,0.0,0.0,0.2399,0.3953,Cold,0
File_185,0.2724,0.2528,0.9263,0.2397,0.3604,0.0,Warm,1
File_186,0.0438,0.3599,0.3354,0.3814,0.2831,0.585,Warm,1
File_187,0.8426,0.4744,0.1627,0.2406,0.0489,0.2623,Warm,1
File_188,0.1285,0.2404,0.9421,0.9644,0.1436,0.0,Warm,1
File_189,0.1163,0.0729,0.1374,0.5646,0.1526,0.0,Cold,0
File_190,0.3554,0.1664,0.3239,0.8018,0.1084,0.0,Warm,1
File_191,0.102,0.1255,0.4169,0.0707,0.1606,0.8007,Cold,0
File_192,0.9588,0.3601,0.0,0.0,0.6239,0.4943,Warm,1
File_193,0.4502,0.239,0.6733,0.9929,0.5334,0.0,Hot,2
File_194,0.2141,0.1205,0.2815,0.8355,0.2581,0.0,Warm,1
File_195,0.1506,0.0541,0.7492,0.1762,0.2585,0.0,Warm,1
File_196,0.2378,0.3232,0.176,0.2608,0.0458,0.2183,Cold,0
File_197,0.2139,0.1068,0.311,0.3285,0.1682,0.7456,Warm,1
File_198,0.5971,0.5854,0.0,0.0,0.6523,0.0853,Warm,1
File_199,0.0291,0.2315,0.445,0.7145,0.4017,0.0,Warm,1
File_200,0.2967,0.2877,0.8652,0.2264,0.1602,0.0,Warm,1
File_201,0.3214,0.703,0.1517,0.3694,0.1076,0.5829,Warm,1
File_202,0.5364,0.3479,0.0,0.0,0.8155,0.3305,Warm,1
File_203,0.633,0.7725,0.0,0.0,0.8416,0.1926,Hot,2
File_204,0.9601,0.6555,0.0,0.0,0.6598,0.1612,Hot,2
File_205,0.5268,0.4391,0.0,0.0,0.2671,0.4768,Warm,1
File_206,0.503,0.0413,0.745,0.3299,0.0367,0.0,Warm,1
File_207,0.9884,0.5936,0.0,0.0,0.2843,0.0675,Warm,1
File_208,0.6871,0.9277,0.0,0.0,0.9714,0.3965,Hot,2
File_209,0.3556,0.4355,0.3514,0.4253,0.0575,0.1154,Warm,1
File_210,0.5116,0.4364,0.0,0.0,0.3828,0.1601,Warm,1
File_211,0.6933,0.1092,0.0,0.0,0.9612,0.3184,Warm,1
File_212,0.8554,0.4279,0.0,0.0,0.6833,0.3143,Warm,1
File_213,0.3704,0.1178,0.0,0.0,0.9001,0.4347,Warm,1
File_214,0.4136,0.5048,0.0797,0.4398,0.1752,0.1839,Warm,1
File_215,0.6825,0.7057,0.341,0.2278,0.2809,0.5247,Hot,2
File_216,0.5727,0.917,0.0,0.0,0.6181,0.1933,Warm,1
File_217,0.6148,0.5871,0.0,0.0,0.6353,0.4064,Warm,1
File_218,0.3692,0.8273,0.406,0.3093,0.0348,0.6175,Warm,1
File_219,0.1404,0.3788,0.0,0.0,0.1015,0.2171,Cold,0
File_220,0.5083,0.6604,0.0,0.0,0.5355,0.4152,Warm,1
File_221,0.9275,0.917,0.0,0.0,0.6102,0.3159,Hot,2
File_222,0.2888,0.4469,0.4198,0.4981,0.2642,0.649,Warm,1
File_223,0.7248,0.7844,0.0,0.0,0.7727,0.2292,Hot,2
File_224,0.4995,0.5322,0.0842,0.1271,0.2904,0.3417,Warm,1
File_225,0.1647,0.5826,0.0,0.0,0.1615,0.3753,Cold,0
File_226,0.7503,0.3502,0.0,0.0,0.8355,0.0844,Warm,1
File_227,0.3073,0.2819,0.2826,0.0664,0.2525,0.8202,Warm,1
File_228,0.0712,0.3634,0.0,0.0,0.1072,0.3153,Cold,0
File_229,0.3422,0.163,0.2668,0.913,0.1791,0.0,Warm,1
File_230,0.2747,0.2238,0.5131,0.8035,0.259,0.0,Warm,1
File_231,0.3935,0.068,0.9395,0.1094,0.6444,0.0,Warm,1
File_232,0.7663,0.083,0.1539,0.4494,0.1624,0.2571,Warm,1
File_233,0.1072,0.1373,0.3195,0.5558,0.2363,0.0,Cold,0
File_234,0.2308,0.2386,0.0,0.0,0.939,0.2424,Warm,1
File_235,0.3268,0.4303,0.4686,0.3468,0.1791,0.6589,Warm,1
File_236,0.7077,0.504,0.2029,0.3413,0.0602,0.5639,Warm,1
File_237,0.81,0.698,0.3039,0.2979,0.1552,0.5309,Hot,2
File_238,0.4018,0.2808,0.7915,0.6438,0.1372,0.0,Warm,1
File_239,0.1627,0.2372,0.4574,0.5862,0.1931,0.0,Warm,1
File_240,0.7928,0.4957,0.0,0.0,0.2643,0.2647,Warm,1
File_241,0.6001,0.5378,0.2231,0.2471,0.199,0.4218,Warm,1
File_242,0.2888,0.5735,0.0,0.0,0.3718,0.1895,Warm,1
File_243,0.2435,0.1456,0.0,0.0,0.671,0.1083,Cold,0
File_244,0.1587,0.1269,0.4074,0.1255,0.4346,0.0,Cold,0
File_245,0.4081,0.1987,0.373,0.4409,0.6106,0.0,Warm,1
File_246,0.9445,0.4493,0.0,0.0,0.2938,0.1516,Warm,1
File_247,0.2137,0.065,0.2377,0.9906,0.4966,0.0,Warm,1
File_248,0.7264,0.7098,0.0,0.0,0.2058,0.497,Warm,1
File_249,0.4832,0.7307,0.2812,0.1933,0.1871,0.6263,Warm,1
File_250,0.6938,0.5664,0.2436,0.429,0.2333,0.6759,Hot,2
File_251,0.5238,0.88,0.0,0.0,0.9918,0.1697,Hot,2
File_252,0.6724,0.0942,0.3189,0.2816,0.0502,0.3639,Warm,1
File_253,0.9811,0.1331,0.0,0.0,0.7514,0.4342,Warm,1
File_254,0.0964,0.102,0.0,0.0,0.6393,0.3021,Cold,0
File_255,0.1927,0.2813,0.2981,0.1635,0.0721,0.2908,Cold,0
File_256,0.2723,0.5868,0.0,0.0,0.4485,0.0578,Warm,1
File_257,0.5281,0.1568,0.0,0.0,0.3529,0.4133,Cold,0
File_258,0.8052,0.8873,0.0,0.0,0.2092,0.07,Warm,1
File_259,0.8181,0.0973,0.0906,0.1405,0.0703,0.2677,Warm,1
File_260,0.2376,0.7645,0.0,0.0,0.8258,0.1495,Warm,1
File_261,0.6147,0.4613,0.4421,0.3753,0.2244,0.7895,Hot,2
File_262,0.3157,0.4047,0.4436,0.347,0.1908,0.8791,Warm,1
File_263,0.1018,0.7753,0.4245,0.2705,0.1063,0.2619,Warm,1
File_264,0.0599,0.0222,0.8181,0.8971,0.3652,0.0,Warm,1
File_265,0.6481,0.3397,0.2557,0.2087,0.1226,0.5253,Warm,1
File_266,0.3985,0.3512,0.0,0.0,0.5806,0.3776,Warm,1
File_267,0.4822,0.6538,0.0,0.0,0.6398,0.1565,Warm,1
File_268,0.1702,0.0858,0.5264,0.1705,0.1301,0.0,Cold,0
File_269,0.7808,0.7078,0.3582,0.0816,0.0576,0.5822,Warm,1
File_270,0.7393,0.248,0.0,0.0,0.5426,0.4422,Warm,1
File_271,0.3408,0.2065,0.4086,0.2093,0.6239,0.0,Warm,1
File_272,0.7552,0.6044,0.4094,0.0785,0.2598,0.3751,Hot,2
File_273,0.2182,0.1114,0.1455,0.9477,0.468,0.0,Warm,1
File_274,0.9785,0.277,0.0,0.0,0.2207,0.0845,Warm,1
File_275,0.2772,0.2795,0.586,0.9133,0.3712,0.0,Warm,1
File_276,0.5053,0.4207,0.2809,0.2104,0.1341,0.1679,Warm,1
File_277,0.2631,0.2021,0.0,0.0,0.5221,0.1333,Cold,0
File_278,0.0961,0.2363,0.3634,0.1455,0.1366,0.6915,Cold,0
File_279,0.1851,0.1783,0.8544,0.7039,0.6467,0.0,Hot,2
File_280,0.7588,0.4806,0.4557,0.4341,0.1549,0.4156,Hot,2
File_281,0.0845,0.2995,0.3839,0.3055,0.3092,0.6457,Warm,1
File_282,0.0467,0.1047,0.8662,0.3366,0.6504,0.0,Warm,1
File_283,0.044,0.192,0.1977,0.1912,0.2587,0.3283,Cold,0
File_284,0.8101,0.3749,0.0559,0.1235,0.0899,0.2053,Warm,1
File_285,0.7897,0.2208,0.2108,0.3446,0.1752,0.6195,Warm,1
File_286,0.1377,0.0533,0.2294,0.1861,0.2562,0.0,Cold,0
File_287,0.476,0.1226,0.5049,0.8496,0.6379,0.0,Hot,2
File_288,0.3478,0.0243,0.1644,0.5679,0.3275,0.0,Warm,1
File_289,0.7813,0.6692,0.3036,0.274,0.0036,0.5985,Warm,1
File_290,0.4523,0.1396,0.6345,0.4365,0.5569,0.0,Warm,1
File_291,0.3878,0.5858,0.3482,0.187,0.0269,0.7833,Warm,1
File_292,0.1887,0.1566,0.4688,0.0708,0.1126,0.4046,Cold,0
File_293,0.5886,0.515,0.0,0.0,0.6374,0.2504,Warm,1
File_294,0.5318,0.9893,0.0,0.0,0.3136,0.4967,Warm,1
File_295,0.1365,0.6772,0.3839,0.2889,0.0723,0.737,Warm,1
File_296,0.4044,0.4806,0.1268,0.3272,0.2963,0.6339,Warm,1
File_297,0.3144,0.2135,0.0,0.0,0.1803,0.2216,Cold,0
File_298,0.2783,0.0553,0.8989,0.505,0.3658,0.0,Warm,1
File_299,0.0955,0.742,0.0,0.0,0.4826,0.1324,Warm,1
File_300,0.4569,0.5128,0.3145,0.4761,0.183,0.5405,Warm,1
File_301,0.7777,0.6543,0.1285,0.3193,0.0556,0.7992,Warm,1
File_302,0.0308,0.2083,0.978,0.5956,0.3114,0.0,Warm,1
File_303,0.7582,0.131,0.0747,0.261,0.2886,0.5199,Warm,1
File_304,0.0502,0.1243,0.8794,0.8953,0.4157,0.0,Warm,1
File_305,0.0792,0.0451,0.9743,0.6503,0.1742,0.0,Warm,1
File_306,0.8934,0.6746,0.0,0.0,0.4657,0.2547,Warm,1
File_307,0.4884,0.7798,0.2294,0.2247,0.2222,0.3726,Warm,1
File_308,0.1635,0.1802,0.3826,0.778,0.1426,0.0,Warm,1
File_309,0.1543,0.1339,0.106,0.1937,0.3086,0.5459,Cold,0
File_310,0.3036,0.197,0.7516,0.3885,0.4025,0.0,Warm,1
File_311,0.5957,0.6914,0.4585,0.1252,0.1662,0.874,Hot,2
File_312,0.0932,0.3684,0.0,0.0,0.4606,0.0639,Cold,0
File_313,0.3252,0.5141,0.3475,0.2343,0.2439,0.8692,Warm,1
File_314,0.7732,0.2954,0.498,0.2234,0.2399,0.1087,Warm,1
File_315,0.4913,0.2978,0.6443,0.8024,0.5563,0.0,Hot,2
File_316,0.832,0.3678,0.0,0.0,0.1586,0.0523,Warm,1
File_317,0.1049,0.3686,0.1194,0.2904,0.2272,0.9895,Warm,1
File_318,0.1468,0.3913,0.2942,0.3372,0.2173,0.977,Warm,1
File_319,0.2295,0.223,0.0,0.0,0.2061,0.2495,Cold,0
File_320,0.0687,0.0413,0.4012,0.8146,0.4708,0.0,Warm,1
File_321,0.0636,0.7952,0.0,0.0,0.6216,0.066,Warm,1
File_322,0.0467,0.1652,0.6088,0.2294,0.2585,0.0,Warm,1
File_323,0.1884,0.0199,0.5282,0.5766,0.5858,0.0,Warm,1
File_324,0.7039,0.812,0.0,0.0,0.3182,0.2841,Warm,1
File_325,0.8075,0.8271,0.0,0.0,0.4424,0.0977,Warm,1
File_326,0.5069,0.1788,0.7394,0.5352,0.2088,0.0,Warm,1
File_327,0.1886,0.2328,0.4709,0.4319,0.3756,0.0,Warm,1
File_328,0.1825,0.293,0.0,0.0,0.8006,0.2489,Warm,1
File_329,0.0957,0.8287,0.0,0.0,0.4703,0.4041,Warm,1
File_330,0.1374,0.235,0.3974,0.2188,0.1284,0.4087,Cold,0
File_331,0.0235,0.1408,0.7203,0.5714,0.3978,0.0,Warm,1
File_332,0.6527,0.1855,0.0,0.0,0.41,0.1183,Warm,1
File_333,0.4962,0.0944,0.0,0.0,0.983,0.2445,Warm,1
File_334,0.4751,0.4412,0.1084,0.4317,0.2191,0.4553,Warm,1
File_335,0.2959,0.1271,0.9208,0.5715,0.3312,0.0,Warm,1
File_336,0.1243,0.2156,0.3252,0.3641,0.0319,0.4205,Cold,0
File_337,0.1502,0.6788,0.0,0.0,0.9187,0.1561,Warm,1
File_338,0.4287,0.1001,0.2434,0.1846,0.1946,0.7042,Warm,1
File_339,0.3089,0.6474,0.0,0.0,0.9975,0.1953,Warm,1
File_340,0.391,0.0946,0.2814,0.3855,0.1356,0.3672,Warm,1
File_341,0.0976,0.1581,0.6932,0.7841,0.4486,0.0,Warm,1
File_342,0.3041,0.1235,0.7771,0.2994,0.0451,0.0,Warm,1
File_343,0.827,0.745,0.4223,0.167,0.2602,0.8117,Hot,2
File_344,0.4789,0.0428,0.5522,0.2251,0.3172,0.0,Warm,1
File_345,0.6275,0.7588,0.2942,0.1068,0.3029,0.585,Hot,2
File_346,0.5395,0.1023,0.2582,0.0559,0.0821,0.9664,Warm,1
File_347,0.0095,0.1244,0.189,0.3907,0.4196,0.0,Cold,0
File_348,0.5055,0.1386,0.6504,0.5773,0.4005,0.0,Warm,1
File_349,0.2062,0.6443,0.0,0.0,0.5632,0.3894,Warm,1
File_350,0.1988,0.2094,0.0,0.0,0.3983,0.3611,Cold,0
File_351,0.2359,0.1905,0.3581,0.8313,0.0777,0.0,Warm,1
File_352,0.9376,0.0898,0.0,0.0,0.5117,0.247,Warm,1
File_353,0.2212,0.7846,0.0,0.0,0.8371,0.2438,Warm,1
File_354,0.3197,0.3276,0.46,0.4957,0.2447,0.3076,Warm,1
File_355,0.3939,0.8777,0.0,0.0,0.3096,0.3615,Warm,1
File_356,0.2828,0.033,0.7166,0.9089,0.5201,0.0,Warm,1
File_357,0.2439,0.6676,0.1814,0.49,0.0643,0.2206,Warm,1
File_358,0.2059,0.0106,0.7917,0.5119,0.5719,0.0,Warm,1
File_359,0.5583,0.7399,0.3658,0.2466,0.1599,0.1896,Warm,1
